0,0,123,72,24,6,0,0,0,0,51,52,78,76,67,67,0,0,0,0
0,0,11,75,62,75,0,0,0,0,3,3,66,62,53,71,16,54,0,0
0,0,0,0,52,77,15,7,3,3,0,0,15,0,15,19,95,100,0,0
0,0,0,0,65,79,14,13,1,8,0,0,2,0,1,1,91,85,13,5
0,0,0,0,40,57,18,26,8,4,0,0,14,0,9,4,74,107,12,2
0,0,0,0,2,6,46,15,42,43,6,4,0,0,0,0,9,16,75,89
0,0,0,0,0,0,43,22,44,43,7,12,0,0,0,0,9,16,90,96
67,20,0,0,0,0,14,42,12,36,26,35,0,1,1,0,0,2,46,75
124,56,0,0,0,0,2,0,7,0,71,53,2,3,1,2,0,0,7,18
91,115,0,0,0,0,0,0,0,0,50,64,9,9,11,7,0,0,3,0
0,0,139,90,24,7,0,0,0,0,9,17,31,25,45,36,0,0,0,0
0,0,62,123,37,30,0,0,0,0,0,3,21,39,39,26,3,6,0,0
0,0,5,57,108,121,3,0,0,0,0,1,27,13,29,35,37,61,0,0
0,0,0,0,87,99,23,32,5,7,0,0,3,0,0,3,69,79,2,1
0,0,0,0,87,120,24,36,12,2,2,1,5,0,1,0,75,68,7,2
0,0,0,0,0,4,81,55,60,74,19,14,0,0,0,0,4,14,48,62
0,1,0,0,2,5,79,49,51,79,18,9,0,0,0,0,3,12,51,48
75,23,0,0,0,0,7,21,44,24,94,96,2,0,0,2,0,0,21,34
59,88,0,0,0,0,0,0,0,0,111,124,21,17,20,21,0,0,0,0
