100,99,0,0,0,0,0,0,0,0,87,102,48,45,10,32,0,0,3,3
52,44,0,0,0,0,7,8,11,31,107,106,1,1,0,0,0,0,59,19
0,0,0,0,2,5,59,70,31,49,23,33,0,0,0,0,32,12,88,50
1,0,0,0,4,17,58,69,56,60,3,5,0,0,0,0,19,9,62,59
0,0,0,0,7,12,56,66,54,51,10,14,0,0,0,0,36,13,49,73
0,0,0,0,77,88,15,9,23,2,0,0,0,0,1,1,64,73,3,28
0,0,0,0,66,100,14,9,28,1,0,0,0,0,2,1,52,63,0,8
0,0,45,16,83,66,0,0,0,0,0,0,3,8,23,14,28,58,0,0
0,0,81,58,32,26,0,0,0,0,3,2,32,34,43,49,20,13,0,0
0,0,80,106,5,9,0,0,0,0,9,19,38,35,20,43,4,0,0,0
126,111,0,0,0,0,0,0,0,0,44,53,12,23,0,12,0,0,0,2
93,97,0,0,0,0,6,2,0,8,59,72,2,2,0,2,0,0,23,8
40,25,0,0,0,0,19,11,24,45,45,43,0,0,0,0,6,0,118,50
0,0,0,0,0,8,41,58,41,37,8,6,0,0,0,0,47,15,100,103
0,0,0,0,2,13,37,58,34,47,1,1,0,0,0,0,50,15,116,103
0,0,0,0,48,59,9,4,15,3,0,0,0,1,13,3,103,117,0,27
0,0,1,0,53,53,1,1,6,1,0,0,0,0,12,0,99,121,3,30
0,0,51,37,54,38,0,0,0,0,1,0,21,36,78,59,39,51,0,0
0,0,63,68,6,5,0,0,0,0,23,33,86,80,54,87,8,1,0,0
